,notes
288,"[[9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [11, 10, 9, 5, 5, 4, 3, 2, 1], [11, 9, 5, 4, 3, 2, 1]]"
289,"[[12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1]]"
290,"[[12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 1], [11, 10, 9, 8, 7, 6, 5, 1], [10, 9, 8, 7, 5, 5, 1]]"
291,"[[12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1]]"
292,"[[12, 11, 9, 9, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1]]"
293,"[[12, 11, 10, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1]]"
294,"[[12, 11, 9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 5, 4, 3, 1], [9, 8, 7, 6, 5, 3, 1]]"
295,"[[12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1], [12, 11, 9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1]]"
296,"[[9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 3, 2, 1]]"
297,"[[11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1]]"
298,"[[9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 5, 5, 3, 2, 1], [10, 9, 8, 7, 5, 3, 2, 1], [11, 10, 9, 8, 7, 5, 3, 2, 1], [11, 9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 3, 1]]"
299,"[[9, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 2, 1], [10, 9, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 1]]"
300,"[[11, 9, 9, 8, 7, 5, 1], [11, 9, 8, 7, 6, 5, 1], [11, 10, 9, 7, 6, 5, 1], [11, 10, 9, 8, 7, 5, 1], [11, 9, 8, 7, 6, 5, 1], [9, 8, 7, 6, 5, 1], [9, 8, 7, 5, 1], [9, 8, 5, 1]]"
301,"[[9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 2, 1]]"
302,"[[11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 1], [11, 10, 9, 7, 6, 5, 3, 1], [12, 11, 10, 9, 7, 5, 3, 1], [11, 10, 9, 8, 7, 5, 3, 1]]"
303,"[[12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1]]"
304,"[[11, 9, 5, 3, 1], [11, 9, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [11, 9, 5, 3, 1], [9, 5, 3, 1], [9, 5, 3, 1], [9, 5, 4, 3, 1], [9, 5, 4, 3, 1, 1]]"
305,"[[12, 11, 9, 8, 7, 6, 5, 4, 3, 1, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1]]"
306,"[[11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 1], [9, 8, 7, 6, 5, 4, 1]]"
307,"[[12, 11, 9, 8, 7, 5, 4, 1], [12, 11, 10, 9, 7, 5, 4, 1], [11, 10, 9, 7, 5, 1], [11, 10, 9, 7, 5, 3, 2, 1], [11, 9, 7, 5, 3, 1], [11, 9, 7, 5, 4, 3, 1], [11, 10, 9, 5, 4, 3, 1], [11, 10, 9, 7, 5, 4, 3, 2, 1]]"
308,"[[9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 1]]"
309,"[[9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 9, 7, 5, 3, 2, 1], [9, 5, 3, 2, 1], [9, 5, 3, 2, 1], [9, 5, 3, 1], [9, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1]]"
310,"[[10, 9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 7, 5, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 5, 4, 3, 2, 1]]"
311,"[[9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1, 1], [12, 11, 10, 9, 8, 7, 6, 5, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 1]]"
312,"[[11, 9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1]]"
313,"[[9, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1]]"
314,"[[9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1, 1], [9, 8, 7, 5, 4, 1], [12, 11, 9, 8, 7, 5, 4, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1]]"
315,"[[10, 9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 1], [12, 11, 10, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 1, 5, 4, 3, 1]]"
316,"[[12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 5, 3, 2, 1], [12, 11, 9, 5, 4, 3, 1]]"
317,"[[9, 8, 7, 6, 5, 3, 2, 1], [10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1]]"
318,"[[12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 2, 1], [10, 9, 7, 6, 5, 3, 2, 1]]"
319,"[[12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 5, 4, 3, 2, 1], [11, 9, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 3, 1]]"
320,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 1], [9, 8, 7, 5, 4, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 3, 2, 1], [9, 8, 7, 6, 5, 5, 4, 3, 1]]"
321,"[[10, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [12, 9, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1]]"
322,"[[12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 5, 4, 3, 1], [9, 5, 4, 3, 1]]"
323,"[[11, 10, 9, 7, 5, 4, 3, 1], [11, 10, 9, 7, 5, 4, 3, 1], [11, 10, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 5, 4, 3, 2, 1], [11, 10, 9, 5, 4, 3, 2, 1], [11, 9, 9, 5, 3, 2, 1]]"
324,"[[9, 8, 7, 6, 5, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 11, 9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 3, 1]]"
325,"[[11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 3, 2, 1]]"
326,"[[12, 11, 10, 9, 8, 7, 7, 5, 4, 3, 2, 1], [12, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 5, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 2, 1], [12, 11, 9, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1]]"
327,"[[9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 1], [9, 5, 3, 1], [10, 9, 5, 3, 1]]"
328,"[[9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 7, 6, 5, 3, 1], [12, 9, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1]]"
329,"[[11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [12, 11, 10, 9, 5, 4, 3, 1]]"
330,"[[11, 9, 8, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [10, 9, 8, 7, 5, 4, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1]]"
331,"[[9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1]]"
332,"[[12, 11, 9, 8, 7, 5, 1], [11, 9, 8, 7, 6, 5, 5, 1], [9, 8, 7, 6, 5, 1], [9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 1]]"
333,"[[9, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 1]]"
334,"[[11, 9, 7, 5, 3, 1], [9, 7, 5, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 2, 1]]"
335,"[[12, 11, 9, 5, 4, 3, 1], [11, 9, 8, 5, 4, 3, 1], [11, 9, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 1]]"
336,"[[11, 9, 7, 5, 3, 2, 1], [11, 9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [12, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 1]]"
337,"[[9, 5, 4, 3, 1], [9, 5, 3, 1], [9, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 5, 4, 3, 1], [9, 5, 4, 3, 1]]"
338,"[[12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 2, 1], [11, 9, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1]]"
339,"[[11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1]]"
340,"[[9, 8, 5, 4, 3, 1], [9, 5, 5, 4, 3, 1], [9, 5, 4, 3, 2, 1], [9, 8, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 3, 2, 1], [11, 9, 8, 7, 5, 1], [11, 9, 7, 5, 1]]"
341,"[[12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [10, 9, 7, 6, 5, 4, 3, 2, 1], [10, 9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1]]"
342,"[[11, 9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [10, 9, 5, 4, 3, 2, 1], [11, 10, 9, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 1], [11, 9, 5, 5, 4, 3, 1]]"
343,"[[12, 11, 9, 8, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1]]"
344,"[[11, 9, 8, 7, 6, 5, 4, 3, 1, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 5, 3, 1], [9, 8, 7, 5, 3, 2, 1], [9, 7, 5, 3, 2, 1], [9, 7, 5, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1]]"
345,"[[10, 9, 7, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 6, 5, 4, 1], [12, 11, 9, 7, 6, 5, 1], [12, 11, 9, 7, 5, 1], [12, 11, 9, 5, 1]]"
346,"[[11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1]]"
347,"[[11, 9, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 2, 1], [11, 9, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1]]"
348,"[[9, 7, 5, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1]]"
349,"[[12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 3, 3, 1], [11, 9, 7, 5, 3, 2, 1], [11, 9, 5, 4, 3, 2, 1], [11, 9, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [11, 11, 9, 5, 4, 3, 2, 1]]"
350,"[[9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 2, 1], [11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1]]"
351,"[[9, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 3, 1], [10, 9, 7, 6, 5, 4, 3, 1]]"
352,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1]]"
353,"[[12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [11, 10, 9, 5, 4, 3, 1], [12, 11, 10, 9, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 5, 3, 2, 1], [12, 11, 10, 9, 5, 3, 2, 1], [12, 11, 10, 9, 5, 3, 1]]"
354,"[[9, 8, 7, 6, 5, 1], [9, 8, 7, 6, 5, 3, 1], [9, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 5, 4, 3, 2, 1]]"
355,"[[9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 3, 1], [11, 9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1]]"
356,"[[9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 5, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 3, 1], [12, 11, 9, 7, 5, 4, 1]]"
357,"[[12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [9, 5, 4, 3, 1]]"
358,"[[12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 2, 1]]"
